model,strategy,chunk_size,n_chunks,storage_mb,throughput_pps,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,n_queries
bge,fixed,8,15662,61.18,2328.7,0.003,0.0126,0.0213,0.0596,0.0232,640.0
bge,fixed,16,8462,33.05,1837.1,0.0333,0.1243,0.2107,0.252,0.163,640.0
bge,fixed,32,4462,17.43,2242.8,0.0454,0.2418,0.3931,0.2201,0.2313,640.0
bge,fixed,64,3200,12.5,195044.6,0.0464,0.2534,0.4042,0.2244,0.2379,640.0
bge,fixed,128,3200,12.5,188831.8,0.0464,0.2534,0.4042,0.2244,0.2379,640.0
bge,sliding_window,8,29724,116.11,7778.0,0.0065,0.023,0.0334,0.1741,0.0649,640.0
bge,sliding_window,16,15662,61.18,80304.7,0.003,0.0126,0.0213,0.0596,0.0232,640.0
bge,sliding_window,32,8462,33.05,78440.2,0.0333,0.1243,0.2107,0.252,0.163,640.0
bge,sliding_window,64,4462,17.43,83498.6,0.0454,0.2418,0.3931,0.2201,0.2313,640.0
bge,sliding_window,128,3200,12.5,67913.2,0.0464,0.2534,0.4042,0.2244,0.2379,640.0
bge,semantic,8,15662,61.18,24969.3,0.0032,0.0128,0.0216,0.0608,0.0236,640.0
bge,semantic,16,6524,25.48,25657.3,0.0406,0.222,0.3582,0.2082,0.2116,640.0
bge,semantic,32,3200,12.5,89439.7,0.0464,0.2534,0.4042,0.2244,0.2379,640.0
bge,semantic,64,3200,12.5,64855.8,0.0464,0.2534,0.4042,0.2244,0.2379,640.0
bge,semantic,128,3200,12.5,59794.6,0.0464,0.2534,0.4042,0.2244,0.2379,640.0
