model,strategy,chunk_size,n_chunks,storage_mb,throughput_pps,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,n_queries
e5,fixed,8,15662,61.18,2506.5,0.0062,0.0205,0.0295,0.0912,0.0341,640.0
e5,fixed,16,8462,33.05,1638.7,0.0391,0.1433,0.2466,0.2813,0.1882,640.0
e5,fixed,32,4462,17.43,1736.3,0.0499,0.2724,0.4302,0.2442,0.2573,640.0
e5,fixed,64,3200,12.5,63724.3,0.0531,0.2786,0.4393,0.2466,0.2624,640.0
e5,fixed,128,3200,12.5,68901.1,0.0531,0.2786,0.4393,0.2466,0.2624,640.0
e5,sliding_window,8,29724,116.11,8048.4,0.0057,0.0239,0.0357,0.1749,0.064,640.0
e5,sliding_window,16,15662,61.18,64741.5,0.0062,0.0205,0.0295,0.0912,0.0341,640.0
e5,sliding_window,32,8462,33.05,77661.7,0.0391,0.1433,0.2466,0.2813,0.1882,640.0
e5,sliding_window,64,4462,17.43,75199.0,0.0499,0.2724,0.4302,0.2442,0.2573,640.0
e5,sliding_window,128,3200,12.5,69104.9,0.0531,0.2786,0.4393,0.2466,0.2624,640.0
e5,semantic,8,15662,61.18,25912.8,0.0062,0.0202,0.0295,0.0912,0.034,640.0
e5,semantic,16,6524,25.48,25425.4,0.0471,0.266,0.4198,0.2399,0.2511,640.0
e5,semantic,32,3200,12.5,57758.3,0.0531,0.2786,0.4393,0.2466,0.2624,640.0
e5,semantic,64,3200,12.5,114202.9,0.0531,0.2786,0.4393,0.2466,0.2624,640.0
e5,semantic,128,3200,12.5,77218.0,0.0531,0.2786,0.4393,0.2466,0.2624,640.0
