model,strategy,chunk_size,n_chunks,storage_mb,throughput_pps,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,n_queries
labse,fixed,8,15662,45.88,3152.3,0.0074,0.0205,0.0238,0.095,0.033,640.0
labse,fixed,16,8462,24.79,3399.5,0.0191,0.0975,0.1707,0.1867,0.1275,640.0
labse,fixed,32,4462,13.07,4021.4,0.0484,0.1755,0.2984,0.1788,0.1802,640.0
labse,fixed,64,3200,9.38,29697.9,0.0477,0.1904,0.3151,0.1843,0.1886,640.0
labse,fixed,128,3200,9.38,67404.5,0.0477,0.1904,0.3151,0.1843,0.1886,640.0
labse,sliding_window,8,29724,87.08,11837.1,0.0047,0.0226,0.0302,0.1628,0.0593,640.0
labse,sliding_window,16,15662,45.88,91381.3,0.0074,0.0205,0.0238,0.095,0.033,640.0
labse,sliding_window,32,8462,24.79,85997.0,0.0191,0.0975,0.1707,0.1867,0.1275,640.0
labse,sliding_window,64,4462,13.07,66018.9,0.0484,0.1755,0.2984,0.1788,0.1802,640.0
labse,sliding_window,128,3200,9.38,90217.1,0.0477,0.1904,0.3151,0.1843,0.1886,640.0
labse,semantic,8,15662,45.88,34951.4,0.0074,0.0205,0.0238,0.095,0.033,640.0
labse,semantic,16,6524,19.11,28215.6,0.0265,0.113,0.1877,0.1141,0.1117,640.0
labse,semantic,32,3200,9.38,30432.7,0.0477,0.1904,0.3151,0.1843,0.1886,640.0
labse,semantic,64,3200,9.38,95725.6,0.0477,0.1904,0.3151,0.1843,0.1886,640.0
labse,semantic,128,3200,9.38,104645.3,0.0477,0.1904,0.3151,0.1843,0.1886,640.0
