model,strategy,chunk_size,n_chunks,storage_mb,throughput_pps,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,n_queries
me5,fixed,8,15662,61.18,2102.6,0.0074,0.0218,0.0297,0.101,0.0372,640.0
me5,fixed,16,8462,33.05,1813.4,0.0341,0.1504,0.2683,0.2671,0.195,640.0
me5,fixed,32,4462,17.43,2182.2,0.0501,0.2759,0.4833,0.2416,0.2764,640.0
me5,fixed,64,3200,12.5,25048.3,0.051,0.2797,0.4888,0.243,0.2789,640.0
me5,fixed,128,3200,12.5,58369.4,0.051,0.2797,0.4888,0.243,0.2789,640.0
me5,sliding_window,8,29724,116.11,7378.6,0.0072,0.0308,0.0457,0.214,0.0834,640.0
me5,sliding_window,16,15662,61.18,55450.4,0.0074,0.0218,0.0297,0.101,0.0372,640.0
me5,sliding_window,32,8462,33.05,51094.4,0.0341,0.1504,0.2683,0.2671,0.195,640.0
me5,sliding_window,64,4462,17.43,55780.9,0.0501,0.2759,0.4833,0.2416,0.2764,640.0
me5,sliding_window,128,3200,12.5,111487.4,0.051,0.2797,0.4888,0.243,0.2789,640.0
me5,semantic,8,15662,61.18,28183.1,0.0076,0.0219,0.0301,0.1027,0.0377,640.0
me5,semantic,16,6524,25.48,23573.0,0.0476,0.267,0.475,0.2382,0.2703,640.0
me5,semantic,32,3200,12.5,24940.7,0.051,0.2797,0.4888,0.243,0.2789,640.0
me5,semantic,64,3200,12.5,55612.9,0.051,0.2797,0.4888,0.243,0.2789,640.0
me5,semantic,128,3200,12.5,104603.5,0.051,0.2797,0.4888,0.243,0.2789,640.0
