model,strategy,chunk_size,n_chunks,storage_mb,throughput_pps,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,n_queries
mpnet,fixed,8,15662,45.88,3089.1,0.0081,0.0254,0.0365,0.1127,0.0424,640.0
mpnet,fixed,16,8462,24.79,3364.9,0.0282,0.1365,0.2231,0.2471,0.1692,640.0
mpnet,fixed,32,4462,13.07,3843.9,0.0474,0.232,0.3905,0.2346,0.2364,640.0
mpnet,fixed,64,3200,9.38,31882.3,0.0539,0.2383,0.3969,0.24,0.243,640.0
mpnet,fixed,128,3200,9.38,69748.5,0.0539,0.2383,0.3969,0.24,0.243,640.0
mpnet,sliding_window,8,29724,87.08,11534.1,0.0069,0.028,0.0402,0.2073,0.0739,640.0
mpnet,sliding_window,16,15662,45.88,82116.5,0.0081,0.0254,0.0365,0.1127,0.0424,640.0
mpnet,sliding_window,32,8462,24.79,85237.8,0.0282,0.1365,0.2231,0.2471,0.1692,640.0
mpnet,sliding_window,64,4462,13.07,121323.5,0.0474,0.232,0.3905,0.2346,0.2364,640.0
mpnet,sliding_window,128,3200,9.38,84175.7,0.0539,0.2383,0.3969,0.24,0.243,640.0
mpnet,semantic,8,15662,45.88,39278.9,0.0081,0.0254,0.0365,0.1127,0.0424,640.0
mpnet,semantic,16,6524,19.11,29721.4,0.0451,0.2152,0.3516,0.2197,0.2147,640.0
mpnet,semantic,32,3200,9.38,30199.4,0.0539,0.2383,0.3969,0.24,0.243,640.0
mpnet,semantic,64,3200,9.38,97696.8,0.0539,0.2383,0.3969,0.24,0.243,640.0
mpnet,semantic,128,3200,9.38,115148.9,0.0539,0.2383,0.3969,0.24,0.243,640.0
